Frequency_mean,Usefulness_mean,Ethics_mean,Evaluation_mean
3.75,4.0,2.6666666666666665,3.0
4.75,4.0,3.3333333333333335,4.5
5.0,5.0,4.166666666666667,4.625
3.75,4.0,2.6666666666666665,4.0
4.25,4.4,3.8333333333333335,4.5
5.0,4.8,4.166666666666667,4.75
1.0,4.0,2.5,3.875
3.75,3.6,5.0,4.0
3.25,3.4,4.0,3.875
5.0,5.0,3.6666666666666665,4.125
4.0,3.8,3.1666666666666665,3.875
3.0,4.0,3.1666666666666665,3.625
5.0,5.0,4.333333333333333,5.0
4.75,5.0,4.666666666666667,4.75
4.5,4.6,3.6666666666666665,4.375
2.5,3.8,3.0,3.75
5.0,5.0,4.166666666666667,4.875
3.25,5.0,3.8333333333333335,5.0
5.0,5.0,4.0,4.625
3.0,3.8,4.0,3.75
2.75,3.4,3.6666666666666665,4.0
2.75,4.0,4.0,4.5
4.75,4.0,3.3333333333333335,4.25
3.5,4.0,2.6666666666666665,3.75
2.75,3.4,3.0,3.0
3.75,4.8,3.8333333333333335,4.875
4.0,4.2,3.1666666666666665,3.875
1.25,1.4,3.8333333333333335,2.25
2.75,4.4,3.1666666666666665,3.75
3.25,3.4,4.0,4.25
2.0,4.0,3.6666666666666665,3.5
4.5,4.2,4.666666666666667,4.625
3.75,4.6,3.0,4.125
4.0,4.0,3.8333333333333335,3.875
3.0,3.4,2.8333333333333335,3.5
3.75,4.0,4.166666666666667,4.125
4.25,4.0,2.6666666666666665,3.875
3.0,4.0,2.5,3.25
5.0,3.6,2.6666666666666665,3.875
4.5,4.4,3.8333333333333335,4.125
4.0,3.6,3.1666666666666665,3.5
5.0,5.0,3.0,4.75
3.75,4.0,3.6666666666666665,4.125
2.5,4.0,3.6666666666666665,3.75
4.5,4.2,4.333333333333333,4.5
4.25,4.0,4.666666666666667,4.75
4.0,3.6,3.0,4.0
4.5,4.8,3.3333333333333335,4.5
3.0,3.8,3.0,3.75
3.5,3.8,4.0,4.0
3.75,4.2,3.6666666666666665,3.625
4.25,4.0,3.6666666666666665,4.0
3.0,4.0,3.0,3.5
5.0,3.8,4.333333333333333,4.375
5.0,4.6,3.8333333333333335,4.625
5.0,3.8,3.5,4.25
3.75,4.4,4.333333333333333,4.375
2.5,3.8,2.6666666666666665,3.625
3.75,4.6,4.0,4.25
4.0,4.2,4.0,3.875
3.25,4.0,3.6666666666666665,3.375
3.5,4.2,3.6666666666666665,4.0
3.25,3.8,3.3333333333333335,4.0
4.0,4.2,2.6666666666666665,4.25
5.0,4.8,4.333333333333333,4.75
5.0,5.0,2.3333333333333335,4.5
4.0,4.4,4.0,4.125
5.0,5.0,2.3333333333333335,4.5
3.75,3.6,3.6666666666666665,4.0
4.0,4.2,3.3333333333333335,3.625
4.0,4.2,4.333333333333333,4.125
5.0,4.4,3.5,3.875
4.0,4.0,2.6666666666666665,3.75
3.75,5.0,3.8333333333333335,4.625
4.5,4.8,3.8333333333333335,4.0
3.5,3.0,3.5,3.375
4.75,4.8,3.3333333333333335,5.0
